,1,2,3,4,5,6,7,8,9,10,11,12
A,LB,LB,LB,LB,LB,LB,LB,LB,LB,(2) 401 50% +BM,(2) 401 10% +BM,LB
B,LB,(1) BM 10%,(1) BM 10%,(1) BM 10%,(1) BM 10%,(1) 401 10% +BM,(1) 401 10% +BM,(1) 401 10% +BM,(1) 401 10% +BM,(2) 401 50% +BM,(2) 401 10% +BM,LB
C,LB,(2) BM 10%,(2) BM 10%,(2) BM 10%,(2) BM 10%,(1) 401 50% +BM,(1) 401 50% +BM,(1) 401 50% +BM,(1) 401 50% +BM,(2) 401 50% +BM,(2) 401 10% +BM,LB
D,LB,(3) BM 10%,(3) BM 10%,(3) BM 10%,(3) BM 10%,LB 10%,LB 10%,LB 10%,LB 10%,(2) 401 50% +BM,(2) 401 10% +BM,LB
E,LB,(1) BM 50%,(1) BM 50%,(1) BM 50%,(1) BM 50%,LB 50%,LB 50%,LB 50%,LB 50%,401,401_AHL,LB
F,LB,(2) BM 50%,(2) BM 50%,(2) BM 50%,(2) BM 50%,BMb 10%,BMb 10%,BMb 10%,BMb 10%,401,401_AHL,LB
G,LB,(3) BM 50%,(3) BM 50%,(3) BM 50%,(3) BM 50%,BMb 50%,BMb 50%,BMb 50%,BMb 50%,401,401_AHL,LB
H,LB,LB,LB,LB,LB,LB,LB,LB,LB,401,401_AHL,LB
,,,,,,,,,,,,
,10%,50%,,,(1)BM,LB,שקתות:,,,,,
LB,176,96,,,(2)BM,401,,,,,,
Sup,20,100,,,(3)BM,,,,,,,
401,4,4,,,BMb,,,,,,,
,200,200,,,,,,,,,,
