,1,2,3,4,5,6,7,8,9,10,11,12
A,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB
B,LB,(1) BM 10%,(2) BM 10%,(3) BM 10%,LB 10%,BMb 10%,(1) 401 10% +BM,(2) 401 10% +BM,(3) 401 10% +BM,401,401_AHL,LB
C,LB,(1) BM 10%,(2) BM 10%,(3) BM 10%,LB 10%,BMb 10%,(1) 401 10% +BM,(2) 401 10% +BM,(3) 401 10% +BM,401,401_AHL,LB
D,LB,(1) BM 10%,(2) BM 10%,(3) BM 10%,LB 10%,BMb 10%,(1) 401 10% +BM,(2) 401 10% +BM,(3) 401 10% +BM,401,401_AHL,LB
E,LB,(1) BM 50%,(2) BM 50%,(3) BM 50%,LB 50%,BMb 50%,(1) 401 50% +BM,(2) 401 50% +BM,(3) 401 50% +BM,401,401_AHL,LB
F,LB,(1) BM 50%,(2) BM 50%,(3) BM 50%,LB 50%,BMb 50%,(1) 401 50% +BM,(2) 401 50% +BM,(3) 401 50% +BM,401,401_AHL,LB
G,LB,(1) BM 50%,(2) BM 50%,(3) BM 50%,LB 50%,BMb 50%,(1) 401 50% +BM,(2) 401 50% +BM,(3) 401 50% +BM,401,401_AHL,LB
H,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB
,,,,,,,,,,,,
μl,10%,50%,,,(1)BM,LB,שקתות:,4μL AHL + 100μL AC,,4μL AHL + 100μL AC,,
LB,176,96,,,(2)BM,401,,,,,,
Sup,20,100,,,(3)BM,AC,,,,,,
401,4,4,,,BMb,,,,,,,
,200,200,,,,,,,,3ml,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Wells,μl,,,6,,μl,μl,,μl,
LB+TC,10%,24,4224,16.128,16.128ml,Sup (1)BM,10%,120,720,401 0.2,240,
,50%,24,2304,,,,50%,600,,,,
,Control,12,2400,,,Sup (2)BM,10%,120,720,,,
,Blank,36,7200,,,,50%,600,,,,
,,,,,,Sup (3)BM,10%,120,720,,,
,,,,,,,50%,600,,,,
,,,,,,BMb,10%,120,720,,,
,,,,,,,50%,600,,,,
